,state_id,time,m_prism_ppt,state_abb
0,01,1981-01-31,36.53750613765388,AL
1,01,1981-02-28,162.14849916643664,AL
2,01,1981-03-31,136.18621806897303,AL
3,01,1981-04-30,74.54814909347412,AL
4,01,1981-05-31,93.31880276504772,AL
5,01,1981-06-30,92.74199245468023,AL
6,01,1981-07-31,102.89562710499806,AL
7,01,1981-08-31,127.10009862493219,AL
8,01,1981-09-30,49.58612501071849,AL
9,01,1981-10-31,79.18790698716444,AL
10,01,1981-11-30,51.61819580146304,AL
11,01,1981-12-31,150.8551390435734,AL
12,01,1982-01-31,178.69602084672704,AL
13,01,1982-02-28,184.38423954035807,AL
14,01,1982-03-31,79.79289944253877,AL
15,01,1982-04-30,176.42315483786396,AL
16,01,1982-05-31,69.95047918416577,AL
17,01,1982-06-30,113.27742505367766,AL
18,01,1982-07-31,148.51265727830187,AL
19,01,1982-08-31,98.40954373739063,AL
20,01,1982-09-30,49.653564795254844,AL
21,01,1982-10-31,63.26857216506918,AL
22,01,1982-11-30,134.95036026542306,AL
23,01,1982-12-31,211.132883257172,AL
24,01,1983-01-31,102.72468036765649,AL
25,01,1983-02-28,169.9895113850943,AL
26,01,1983-03-31,181.5225697022594,AL
27,01,1983-04-30,228.08018509888143,AL
28,01,1983-05-31,171.21406998692717,AL
29,01,1983-06-30,148.27194169807407,AL
30,01,1983-07-31,50.725469583083004,AL
31,01,1983-08-31,66.03103864748259,AL
32,01,1983-09-30,108.61603669710084,AL
33,01,1983-10-31,58.98763035615417,AL
34,01,1983-11-30,185.13650059686506,AL
35,01,1983-12-31,223.89353383270347,AL
36,01,1984-01-31,101.66115389273641,AL
37,01,1984-02-29,96.88448096941933,AL
38,01,1984-03-31,127.94741597608929,AL
39,01,1984-04-30,133.17009888042995,AL
40,01,1984-05-31,157.94489770744167,AL
41,01,1984-06-30,54.63525803129376,AL
42,01,1984-07-31,146.00088388806756,AL
43,01,1984-08-31,126.35296892707576,AL
44,01,1984-09-30,12.966360841295456,AL
45,01,1984-10-31,128.03069482206152,AL
46,01,1984-11-30,102.43547073772055,AL
47,01,1984-12-31,62.31496689045896,AL
48,01,1985-01-31,95.02306035629675,AL
49,01,1985-02-28,157.7204245361589,AL
50,01,1985-03-31,62.41449265349722,AL
51,01,1985-04-30,69.27496209127492,AL
52,01,1985-05-31,110.10279631471018,AL
53,01,1985-06-30,94.2535253358767,AL
54,01,1985-07-31,173.77105797991868,AL
55,01,1985-08-31,127.16440099532788,AL
56,01,1985-09-30,66.6543523269147,AL
57,01,1985-10-31,149.6498903872459,AL
58,01,1985-11-30,81.67789654988555,AL
59,01,1985-12-31,81.26873328112777,AL
60,01,1986-01-31,56.90587664099593,AL
61,01,1986-02-28,102.29314493249264,AL
62,01,1986-03-31,102.60446770132765,AL
63,01,1986-04-30,18.886842131940146,AL
64,01,1986-05-31,123.09431156852115,AL
65,01,1986-06-30,72.81366102047417,AL
66,01,1986-07-31,86.99886728247905,AL
67,01,1986-08-31,109.27733279110902,AL
68,01,1986-09-30,97.0975220105309,AL
69,01,1986-10-31,108.83012548204269,AL
70,01,1986-11-30,211.00699894579037,AL
71,01,1986-12-31,101.93273401332638,AL
72,01,1987-01-31,148.32078611009516,AL
73,01,1987-02-28,170.38113040418642,AL
74,01,1987-03-31,122.86860957148231,AL
75,01,1987-04-30,25.55077691845423,AL
76,01,1987-05-31,106.82961731463804,AL
77,01,1987-06-30,145.13891255061873,AL
78,01,1987-07-31,84.3376622818624,AL
79,01,1987-08-31,88.23297422864599,AL
80,01,1987-09-30,82.67701227313263,AL
81,01,1987-10-31,14.805956952538217,AL
82,01,1987-11-30,107.03722722979403,AL
83,01,1987-12-31,102.54098282004003,AL
84,01,1988-01-31,135.21336939001958,AL
85,01,1988-02-29,94.65238692514625,AL
86,01,1988-03-31,101.86430445436811,AL
87,01,1988-04-30,99.46934457663454,AL
88,01,1988-05-31,40.685144527525374,AL
89,01,1988-06-30,29.44150690716371,AL
90,01,1988-07-31,160.97988929809728,AL
91,01,1988-08-31,83.12072345497262,AL
92,01,1988-09-30,217.09604204107774,AL
93,01,1988-10-31,76.54383760957612,AL
94,01,1988-11-30,134.152389429808,AL
95,01,1988-12-31,73.4845136650321,AL
96,01,1989-01-31,128.76317168790425,AL
97,01,1989-02-28,127.51558653758939,AL
98,01,1989-03-31,155.2597758526726,AL
99,01,1989-04-30,99.33630631881422,AL
100,01,1989-05-31,119.58269146019977,AL
101,01,1989-06-30,278.9644377250663,AL
102,01,1989-07-31,195.08799948318764,AL
103,01,1989-08-31,59.08324285810173,AL
104,01,1989-09-30,131.6711545780978,AL
105,01,1989-10-31,85.94921000145541,AL
106,01,1989-11-30,158.32876311549776,AL
107,01,1989-12-31,132.5471152633611,AL
108,01,1990-01-31,203.6485942073783,AL
109,01,1990-02-28,210.52198037671528,AL
110,01,1990-03-31,217.71435528032617,AL
111,01,1990-04-30,84.29393651751933,AL
112,01,1990-05-31,129.66396594468227,AL
113,01,1990-06-30,74.02233796733381,AL
114,01,1990-07-31,92.34160211438008,AL
115,01,1990-08-31,40.99953226782424,AL
116,01,1990-09-30,47.951038586638006,AL
117,01,1990-10-31,70.27555381728081,AL
118,01,1990-11-30,73.25900885749526,AL
119,01,1990-12-31,208.5938737487107,AL
120,01,1991-01-31,186.37224035356417,AL
121,01,1991-02-28,146.08600096801445,AL
122,01,1991-03-31,184.62115673842237,AL
123,01,1991-04-30,176.02550763319198,AL
124,01,1991-05-31,241.1995871040539,AL
125,01,1991-06-30,116.26149393171106,AL
