"","year","crop_area","state_name","irr_area","prop_irr","fips","decade"
"79",2012,4378097,"NORTH CAROLINA",164414,0.037553759087567,"37","2010_2019"
"80",2012,23469816,"NORTH DAKOTA",217057,0.00924834689799017,"38","2010_2019"
"81",2012,10122245,"OHIO",45826,0.00452725655227669,"39","2010_2019"
"82",2012,8074733,"OKLAHOMA",450703,0.0558164585751628,"40","2010_2019"
"83",2012,2966351,"OREGON",1266256,0.426873286404744,"41","2010_2019"
"84",2012,3957000,"PENNSYLVANIA",38224,0.00965984331564316,"42","2010_2019"
"85",2012,18933,"RHODE ISLAND",3778,0.199545766650821,"44","2010_2019"
"86",2012,1634706,"SOUTH CAROLINA",154682,0.0946237427402848,"45","2010_2019"
"87",2012,16392000,"SOUTH DAKOTA",370081,0.0225769277696437,"46","2010_2019"
"88",2012,4546788,"TENNESSEE",145995,0.0321094803628408,"47","2010_2019"
"89",2012,16458332,"TEXAS",4174843,0.253661367385225,"48","2010_2019"
"90",2012,1054369,"UTAH",853875,0.809844561059743,"49","2010_2019"
"91",2012,446020,"VERMONT",3333,0.00747275906910004,"50","2010_2019"
"92",2012,2618291,"VIRGINIA",66710,0.0254784514020787,"51","2010_2019"
"93",2012,4342904,"WASHINGTON",1550138,0.356935819902996,"53","2010_2019"
"94",2012,699793,"WEST VIRGINIA",2008,0.00286941995704444,"54","2010_2019"
"95",2012,9149273,"WISCONSIN",419439,0.0458439703351294,"55","2010_2019"
"96",2012,1440605,"WYOMING",1016745,0.705776392557294,"56","2010_2019"
"97",2007,1994743,"ALABAMA",106925,0.0536033965277733,"01","2000_2009"
"98",2007,832406,"ARIZONA",823468,0.989262451255757,"04","2000_2009"
"99",2007,7367068,"ARKANSAS",4455478,0.604783069736834,"05","2000_2009"
"100",2007,7633173,"CALIFORNIA",7274248,0.952978269980256,"06","2000_2009"
"101",2007,5888926,"COLORADO",2296765,0.390014240287618,"08","2000_2009"
"102",2007,136833,"CONNECTICUT",9738,0.0711670430378637,"09","2000_2009"
"103",2007,409468,"DELAWARE",104063,0.254141959811267,"10","2000_2009"
"104",2007,2112129,"FLORIDA",1424396,0.67438873288516,"12","2000_2009"
"105",2007,3390437,"GEORGIA",987160,0.29116010708944,"13","2000_2009"
"106",2007,4225786,"IDAHO",2867218,0.678505253223897,"16","2000_2009"
"107",2007,22611443,"ILLINOIS",473081,0.0209221941297599,"17","2000_2009"
"108",2007,12108940,"INDIANA",395708,0.0326789958493477,"18","2000_2009"
"109",2007,23799380,"IOWA",188765,0.00793150914015407,"19","2000_2009"
"110",2007,19886655,"KANSAS",2728874,0.137221367796646,"20","2000_2009"
"111",2007,5057883,"KENTUCKY",58221,0.0115109424239351,"21","2000_2009"
"112",2007,3342048,"LOUISIANA",910458,0.272425171631287,"22","2000_2009"
"113",2007,393738,"MAINE",20799,0.0528244670313762,"23","2000_2009"
"114",2007,1246603,"MARYLAND",91926,0.0737411990826269,"24","2000_2009"
"115",2007,153993,"MASSACHUSETTS",22662,0.147162533361906,"25","2000_2009"
"116",2007,6859081,"MICHIGAN",496295,0.0723559030721463,"26","2000_2009"
"117",2007,19267018,"MINNESOTA",499583,0.0259294406638329,"27","2000_2009"
"118",2007,4223708,"MISSISSIPPI",1364157,0.322976162177878,"28","2000_2009"
"119",2007,12980113,"MISSOURI",1190101,0.0916864899404188,"29","2000_2009"
"120",2007,9163867,"MONTANA",1558122,0.170028875364516,"30","2000_2009"
"121",2007,18169876,"NEBRASKA",8448373,0.464965913911575,"31","2000_2009"
"122",2007,504311,"NEVADA",502978,0.9973567897587,"32","2000_2009"
"123",2007,99520,"NEW HAMPSHIRE",2417,0.024286575562701,"33","2000_2009"
"124",2007,415542,"NEW JERSEY",94121,0.226501773587267,"34","2000_2009"
"125",2007,1009683,"NEW MEXICO",648272,0.642054981613041,"35","2000_2009"
"126",2007,3651278,"NEW YORK",65891,0.0180460101915001,"36","2000_2009"
"127",2007,4188658,"NORTH CAROLINA",208213,0.0497087611354281,"37","2000_2009"
"128",2007,22035717,"NORTH DAKOTA",233171,0.0105815027484697,"38","2000_2009"
"129",2007,9991007,"OHIO",37050,0.00370833490558059,"39","2000_2009"
"130",2007,7650080,"OKLAHOMA",481169,0.0628972507477046,"40","2000_2009"
"131",2007,3037261,"OREGON",1333741,0.439126239068687,"41","2000_2009"
"132",2007,3942079,"PENNSYLVANIA",36759,0.00932477507426919,"42","2000_2009"
"133",2007,19325,"RHODE ISLAND",4266,0.220750323415265,"44","2000_2009"
"134",2007,1551670,"SOUTH CAROLINA",123413,0.0795355971308332,"45","2000_2009"
"135",2007,15278709,"SOUTH DAKOTA",358807,0.0234841176698895,"46","2000_2009"
"136",2007,4226440,"TENNESSEE",79150,0.0187273449995741,"47","2000_2009"
"137",2007,19174301,"TEXAS",4621445,0.241022867013509,"48","2000_2009"
"138",2007,964702,"UTAH",787205,0.816008466863342,"49","2000_2009"
"139",2007,433074,"VERMONT",2203,0.00508689046213811,"50","2000_2009"
"140",2007,2544997,"VIRGINIA",78675,0.0309135924325255,"51","2000_2009"
"141",2007,4387169,"WASHINGTON",1589538,0.362315196884369,"53","2000_2009"
"142",2007,692003,"WEST VIRGINIA",0,0,"54","2000_2009"
"143",2007,8884628,"WISCONSIN",373680,0.0420591610588536,"55","2000_2009"
"144",2007,1536240,"WYOMING",1025182,0.667331927303026,"56","2000_2009"
"145",2002,1995139,"ALABAMA",101965,0.0511067148704927,"01","2000_2009"
"146",2002,887966,"ARIZONA",887966,1,"04","2000_2009"
"147",2002,7457599,"ARKANSAS",4144606,0.555756081816681,"05","2000_2009"
"148",2002,8466321,"CALIFORNIA",7949051,0.938902623701605,"06","2000_2009"
"149",2002,4346955,"COLORADO",2178748,0.501212457915943,"08","2000_2009"
"150",2002,131248,"CONNECTICUT",10010,0.0762678288431062,"09","2000_2009"
"151",2002,433105,"DELAWARE",97024,0.224019579547685,"10","2000_2009"
"152",2002,2313537,"FLORIDA",1696259,0.733188619849175,"12","2000_2009"
"153",2002,3245784,"GEORGIA",848024,0.261269388227929,"13","2000_2009"
"154",2002,4313288,"IDAHO",2829982,0.656107823080675,"16","2000_2009"
"155",2002,22562904,"ILLINOIS",390480,0.0173062829146461,"17","2000_2009"
"156",2002,11937370,"INDIANA",311963,0.026133310771133,"18","2000_2009"
"157",2002,23994343,"IOWA",141438,0.00589463941563226,"19","2000_2009"
"158",2002,18976719,"KANSAS",2665750,0.140474757517356,"20","2000_2009"
"159",2002,4978994,"KENTUCKY",36718,0.00737458209429455,"21","2000_2009"
"160",2002,3332146,"LOUISIANA",928050,0.278514206760448,"22","2000_2009"
"161",2002,394121,"MAINE",19592,0.0497106218648588,"23","2000_2009"
"162",2002,1282004,"MARYLAND",79858,0.0622915373118961,"24","2000_2009"
"163",2002,159253,"MASSACHUSETTS",23509,0.147620452989897,"25","2000_2009"
"164",2002,6827903,"MICHIGAN",453968,0.0664871776883767,"26","2000_2009"
"165",2002,19398309,"MINNESOTA",449734,0.0231841857968135,"27","2000_2009"
"166",2002,4139341,"MISSISSIPPI",1174964,0.283852912818731,"28","2000_2009"
"167",2002,13137184,"MISSOURI",1027214,0.0781913384177309,"29","2000_2009"
"168",2002,8742111,"MONTANA",1556656,0.178064085436572,"30","2000_2009"
"169",2002,17336624,"NEBRASKA",7506900,0.433008179677889,"31","2000_2009"
"170",2002,549076,"NEVADA",534652,0.973730412547625,"32","2000_2009"
