year,crop_area,state_name,irr_area,prop_irr
2007,19267018,MINNESOTA,499583,0.025929441
2007,4223708,MISSISSIPPI,1364157,0.322976162
2007,12980113,MISSOURI,1190101,0.09168649
2007,9163867,MONTANA,1558122,0.170028875
2007,18169876,NEBRASKA,8448373,0.464965914
2007,504311,NEVADA,502978,0.99735679
2007,99520,NEW HAMPSHIRE,2417,0.024286576
2007,415542,NEW JERSEY,94121,0.226501774
2007,1009683,NEW MEXICO,648272,0.642054982
2007,3651278,NEW YORK,65891,0.01804601
2007,4188658,NORTH CAROLINA,208213,0.049708761
2007,22035717,NORTH DAKOTA,233171,0.010581503
2007,9991007,OHIO,37050,0.003708335
2007,7650080,OKLAHOMA,481169,0.062897251
2007,3037261,OREGON,1333741,0.439126239
2007,3942079,PENNSYLVANIA,36759,0.009324775
2007,19325,RHODE ISLAND,4266,0.220750323
2007,1551670,SOUTH CAROLINA,123413,0.079535597
2007,15278709,SOUTH DAKOTA,358807,0.023484118
2007,4226440,TENNESSEE,79150,0.018727345
2007,19174301,TEXAS,4621445,0.241022867
2007,964702,UTAH,787205,0.816008467
2007,433074,VERMONT,2203,0.00508689
2007,2544997,VIRGINIA,78675,0.030913592
2007,4387169,WASHINGTON,1589538,0.362315197
2007,692003,WEST VIRGINIA,0,0
2007,8884628,WISCONSIN,373680,0.042059161
2007,1536240,WYOMING,1025182,0.667331927
2002,1995139,ALABAMA,101965,0.051106715
2002,887966,ARIZONA,887966,1
2002,7457599,ARKANSAS,4144606,0.555756082
2002,8466321,CALIFORNIA,7949051,0.938902624
2002,4346955,COLORADO,2178748,0.501212458
2002,131248,CONNECTICUT,10010,0.076267829
2002,433105,DELAWARE,97024,0.22401958
2002,2313537,FLORIDA,1696259,0.73318862
2002,3245784,GEORGIA,848024,0.261269388
2002,4313288,IDAHO,2829982,0.656107823
2002,22562904,ILLINOIS,390480,0.017306283
2002,11937370,INDIANA,311963,0.026133311
2002,23994343,IOWA,141438,0.005894639
2002,18976719,KANSAS,2665750,0.140474758
2002,4978994,KENTUCKY,36718,0.007374582
2002,3332146,LOUISIANA,928050,0.278514207
2002,394121,MAINE,19592,0.049710622
2002,1282004,MARYLAND,79858,0.062291537
2002,159253,MASSACHUSETTS,23509,0.147620453
2002,6827903,MICHIGAN,453968,0.066487178
2002,19398309,MINNESOTA,449734,0.023184186
2002,4139341,MISSISSIPPI,1174964,0.283852913
2002,13137184,MISSOURI,1027214,0.078191338
2002,8742111,MONTANA,1556656,0.178064085
2002,17336624,NEBRASKA,7506900,0.43300818
2002,549076,NEVADA,534652,0.973730413
2002,95983,NEW HAMPSHIRE,2256,0.023504162
2002,444670,NEW JERSEY,95793,0.215424922
2002,856166,NEW MEXICO,654172,0.764071453
2002,3846368,NEW YORK,68914,0.017916642
2002,4308209,NORTH CAROLINA,238345,0.055323453
2002,19908697,NORTH DAKOTA,201019,0.010097045
2002,10041416,OHIO,39881,0.003971651
2002,7705860,OKLAHOMA,470943,0.061114918
2002,3119384,OREGON,1415826,0.453879997
2002,4079276,PENNSYLVANIA,40880,0.010021386
2002,17820,RHODE ISLAND,3948,0.221548822
2002,1374617,SOUTH CAROLINA,91795,0.066778601
2002,13492286,SOUTH DAKOTA,384170,0.028473307
2002,4365360,TENNESSEE,58356,0.01336797
2002,17750938,TEXAS,4571339,0.257526616
2002,961037,UTAH,780235,0.811867805
2002,454699,VERMONT,2165,0.004761392
2002,2623776,VIRGINIA,95293,0.03631903
2002,4894634,WASHINGTON,1669928,0.341175254
2002,648635,WEST VIRGINIA,0,0
2002,8928083,WISCONSIN,380385,0.042605451
2002,1298709,WYOMING,960430,0.739526715
1997,2179636,ALABAMA,73490,0.033716639
1997,1026359,ARIZONA,1020622,0.994410338
1997,7814711,ARKANSAS,3772697,0.482768589
1997,8676242,CALIFORNIA,8101078,0.933708165
1997,6099357,COLORADO,2728402,0.447326169
1997,153446,CONNECTICUT,7564,0.049294214
1997,469920,DELAWARE,74733,0.159033453
1997,2434379,FLORIDA,1739729,0.71465002
1997,3894737,GEORGIA,760601,0.195289438
1997,4581227,IDAHO,3102326,0.677182336
1997,22428616,ILLINOIS,350118,0.015610326
1997,11844628,INDIANA,254285,0.021468382
1997,24008826,IOWA,130557,0.005437875
1997,20989979,KANSAS,2654630,0.126471303
1997,4853500,KENTUCKY,56366,0.011613475
1997,4022664,LOUISIANA,951114,0.236438838
1997,426711,MAINE,22014,0.051589952
1997,1377747,MARYLAND,68094,0.049424169
1997,184480,MASSACHUSETTS,26465,0.143457285
1997,6989300,MICHIGAN,403927,0.057792197
1997,19794078,MINNESOTA,399440,0.020179773
1997,4519775,MISSISSIPPI,1109779,0.24553855
1997,12850509,MISSOURI,916926,0.071353283
1997,9792216,MONTANA,1620083,0.165446003
1997,17897591,NEBRASKA,6955031,0.388601516
1997,526408,NEVADA,526204,0.999612468
1997,111870,NEW HAMPSHIRE,2612,0.02334853
1997,498912,NEW JERSEY,93461,0.187329629
1997,1118176,NEW MEXICO,708387,0.633520126
1997,3855732,NEW YORK,71134,0.018448896
1997,4269966,NORTH CAROLINA,145853,0.034157883
1997,20674991,NORTH DAKOTA,178784,0.008647356
1997,10070813,OHIO,34496,0.003425344
1997,8964248,OKLAHOMA,466620,0.052053446
1997,3258082,OREGON,1421750,0.436376371
1997,4219115,PENNSYLVANIA,38636,0.009157371
1997,21537,RHODE ISLAND,3228,0.149881599
1997,1732870,SOUTH CAROLINA,87382,0.050426172
1997,14770445,SOUTH DAKOTA,354992,0.024033941
1997,4233018,TENNESSEE,44700,0.010559842
1997,20357767,TEXAS,5411100,0.265800272
1997,1113756,UTAH,878258,0.788555123
1997,473026,VERMONT,2683,0.005671993
1997,2600860,VIRGINIA,83101,0.031951355
1997,5160717,WASHINGTON,1664494,0.32253154
1997,661882,WEST VIRGINIA,2990,0.004517422
1997,8996941,WISCONSIN,356203,0.039591568
1997,1801314,WYOMING,1196663,0.664327818
1982,3265361,ALABAMA,63448,
1987,2231623,ALABAMA,75894,
1992,2104064,ALABAMA,77263,
1982,1047213,ARIZONA,1042527,
1987,865817,ARIZONA,859654,
1992,911355,ARIZONA,905892,
1982,7484316,ARKANSAS,2019406,
1987,6477365,ARKANSAS,2396987,
1992,7295095,ARKANSAS,2691480,
1982,8764808,CALIFORNIA,7787078,
1987,7676287,CALIFORNIA,6964100,
1992,7760773,CALIFORNIA,7026146,
1982,6036679,COLORADO,2656328,
1987,5522216,COLORADO,2442358,
1992,5532964,COLORADO,2649111,
1982,171229,CONNECTICUT,6650,
1987,153715,CONNECTICUT,6840,
1992,143782,CONNECTICUT,5449,
1982,499986,DELAWARE,44014,
1987,441502,DELAWARE,60744,
1992,470348,DELAWARE,61594,
1982,2643147,FLORIDA,1303315,
1987,2240831,FLORIDA,1395612,
1992,2400704,FLORIDA,1624498,
1982,4761260,GEORGIA,567378,
1987,3298268,GEORGIA,627311,
1992,3332666,GEORGIA,713047,
1982,4887805,IDAHO,3037603,
1987,4349122,IDAHO,2811354,
1992,4225273,IDAHO,2882199,
1982,23008244,ILLINOIS,163112,
1987,20102388,ILLINOIS,205469,
1992,21868287,ILLINOIS,325691,
1982,12136310,INDIANA,131251,
1987,10706298,INDIANA,167706,
1992,11834675,INDIANA,239755,
1982,24137670,IOWA,91175,
1987,20484178,IOWA,91598,
1992,22826308,IOWA,114911,
1982,20186874,KANSAS,2639024,
1987,17729394,KANSAS,2408176,
1992,18794787,KANSAS,2626318,
1982,4835631,KENTUCKY,21503,
1987,4250284,KENTUCKY,31903,
1992,4417651,KENTUCKY,25300,
1982,4699323,LOUISIANA,686489,
1987,3599678,LOUISIANA,634834,
1992,3810690,LOUISIANA,885969,
1982,457076,MAINE,5825,
1987,410891,MAINE,5998,
1992,399755,MAINE,10108,
1982,1528994,MARYLAND,38219,
1987,1346913,MARYLAND,50077,
1992,1397069,MARYLAND,56332,
1982,197769,MASSACHUSETTS,17012,
1987,194874,MASSACHUSETTS,19566,
1992,173255,MASSACHUSETTS,19622,
1982,7255909,MICHIGAN,284047,
1987,6172468,MICHIGAN,312073,
1992,6584251,MICHIGAN,364718,
1982,19722645,MINNESOTA,312667,
1987,16635264,MINNESOTA,348500,
1992,18201061,MINNESOTA,365305,
1982,5799772,MISSISSIPPI,429447,
1987,4272651,MISSISSIPPI,632791,
1992,4404612,MISSISSIPPI,878992,
1982,12725378,MISSOURI,400668,
1987,11655304,MISSOURI,529342,
1992,12158832,MISSOURI,704928,
1982,9365775,MONTANA,1537067,
1987,9128013,MONTANA,1541977,
1992,8199296,MONTANA,1513042,
1982,17075625,NEBRASKA,5948974,
1987,15276151,NEBRASKA,5561530,
1992,16146818,NEBRASKA,6221357,
1982,605082,NEVADA,602082,
1987,526067,NEVADA,524067,
1992,408568,NEVADA,408568,
1982,116613,NEW HAMPSHIRE,1272,
1987,106629,NEW HAMPSHIRE,NA,
1992,100746,NEW HAMPSHIRE,1736,
1982,570031,NEW JERSEY,81840,
1987,484805,NEW JERSEY,89961,
1992,491518,NEW JERSEY,79745,
1982,1297305,NEW MEXICO,702040,
1987,989214,NEW MEXICO,606344,
1992,1060345,NEW MEXICO,627553,
1982,4430198,NEW YORK,50673,
1987,3899819,NEW YORK,48613,
1992,3534898,NEW YORK,44943,
1982,4659283,NORTH CAROLINA,79607,
1987,3779164,NORTH CAROLINA,135368,
1992,3998685,NORTH CAROLINA,105667,
1982,20308135,NORTH DAKOTA,160726,
1987,18363910,NORTH DAKOTA,162078,
1992,19216531,NORTH DAKOTA,181878,
1982,10396323,OHIO,27338,
1987,9297596,OHIO,31247,
1992,9790327,OHIO,28423,
1982,8961353,OKLAHOMA,468043,
1987,7319193,OKLAHOMA,448809,
1992,8272889,OKLAHOMA,478068,
1982,3305714,OREGON,1376498,
1987,2832663,OREGON,1228388,
1992,2823972,OREGON,1237787,
1982,4363789,PENNSYLVANIA,17692,
1987,4080153,PENNSYLVANIA,28436,
1992,3861435,PENNSYLVANIA,22519,
1982,21252,RHODE ISLAND,1828,
1987,18498,RHODE ISLAND,3116,
1992,18136,RHODE ISLAND,2961,
1982,2474025,SOUTH CAROLINA,80738,
1987,1589636,SOUTH CAROLINA,78569,
1992,1590794,SOUTH CAROLINA,73312,
1982,14433490,SOUTH DAKOTA,364657,
1987,12982611,SOUTH DAKOTA,350822,
1992,13624006,SOUTH DAKOTA,357602,
1982,4548895,TENNESSEE,16382,
1987,3854302,TENNESSEE,34886,
1992,3817720,TENNESSEE,34714,
1982,20761160,TEXAS,5319716,
1987,16521315,TEXAS,4020802,
1992,18136653,TEXAS,4673125,
1982,1118486,UTAH,821839,
1987,1076886,UTAH,829732,
1992,1043347,UTAH,819877,
1982,547848,VERMONT,1246,
1987,488253,VERMONT,1782,
1992,477020,VERMONT,2037,
1982,2779282,VIRGINIA,42400,
1987,2406976,VIRGINIA,77204,
1992,2449013,VIRGINIA,60722,
1982,5278772,WASHINGTON,1499888,
1987,4597476,WASHINGTON,1378065,
1992,4734673,WASHINGTON,1519125,
1982,576889,WEST VIRGINIA,871,
1987,553517,WEST VIRGINIA,2697,
1992,555818,WEST VIRGINIA,2459,
1982,10062154,WISCONSIN,257707,
1987,9335007,WISCONSIN,280624,
1992,8843649,WISCONSIN,325574,
1982,1813830,WYOMING,1146996,
1987,1717027,WYOMING,1132266,
1992,1532732,WYOMING,1099037,
